complaint_code,smonth
KS25120800000003,202512
KS25120800000439,202512
KS25120800000448,202512
KS25120800000979,202512
KS25120800000985,202512
KS25120800000990,202512
KS25120800001028,202512
KS25120800001901,202512
KS25120800002600,202512
KS25120800002602,202512
KS25120800002606,202512
KS25120800000004,202512
KS25120800000029,202512
KS25120800000984,202512
KS25120800000986,202512
KS25120800001003,202512
KS25120800001025,202512
KS25120800001415,202512
KS25120800001425,202512
KS25120800001913,202512
KS25120800002440,202512
KS25120800002607,202512
KS25120800002666,202512
KS25120800003351,202512
KS25120800003683,202512
KS25120800000031,202512
KS25120800000415,202512
KS25120800000592,202512
KS25120800000624,202512
KS25120800000827,202512
KS25120800000886,202512
KS25120800001009,202512
KS25120800001018,202512
KS25120800001020,202512
KS25120800001108,202512
KS25120800001170,202512
KS25120800001573,202512
KS25120800001775,202512
KS25120800002365,202512
KS25120800002452,202512
KS25120800002454,202512
KS25120800000006,202512
KS25120800000007,202512
KS25120800000009,202512
KS25120800000010,202512
KS25120800000011,202512
KS25120800000015,202512
KS25120800000016,202512
KS25120800000017,202512
KS25120800000018,202512
KS25120800000020,202512
KS25120800000021,202512
KS25120800000030,202512
KS25120800000032,202512
KS25120800000033,202512
KS25120800000035,202512
KS25120800000037,202512
KS25120800000040,202512
KS25120800000042,202512
KS25120800000052,202512
KS25120800000053,202512
KS25120800000055,202512
KS25120800000104,202512
KS25120800000108,202512
KS25120800000112,202512
KS25120800000189,202512
KS25120800000278,202512
KS25120800000280,202512
KS25120800000282,202512
KS25120800000307,202512
KS25120800000312,202512
KS25120800000335,202512
KS25120800000440,202512
KS25120800000499,202512
KS25120800000502,202512
KS25120800000505,202512
KS25120800000566,202512
KS25120800000625,202512
KS25120800000660,202512
KS25120800000711,202512
KS25120800000713,202512
KS25120800000715,202512
KS25120800000765,202512
KS25120800000766,202512
KS25120800000783,202512
KS25120800000789,202512
KS25120800000790,202512
KS25120800000796,202512
KS25120800000797,202512
KS25120800000798,202512
KS25120800000819,202512
KS25120800000821,202512
KS25120800000822,202512
KS25120800000823,202512
KS25120800000824,202512
KS25120800000825,202512
KS25120800000828,202512
KS25120800000852,202512
KS25120800000853,202512
KS25120800000878,202512
KS25120800000879,202512
KS25120800000882,202512
KS25120800000883,202512
KS25120800000884,202512
KS25120800000887,202512
KS25120800000943,202512
KS25120800000945,202512
KS25120800000954,202512
KS25120800000956,202512
KS25120800000961,202512
KS25120800000989,202512
KS25120800001008,202512
KS25120800001011,202512
KS25120800001012,202512
KS25120800001013,202512
KS25120800001030,202512
KS25120800001031,202512
KS25120800001054,202512
KS25120800001107,202512
KS25120800001109,202512
KS25120800001123,202512
KS25120800001161,202512
KS25120800001169,202512
KS25120800001183,202512
KS25120800001263,202512
KS25120800001264,202512
KS25120800001266,202512
KS25120800001309,202512
KS25120800001332,202512
KS25120800001487,202512
KS25120800001505,202512
KS25120800001506,202512
KS25120800001517,202512
KS25120800001556,202512
KS25120800001557,202512
KS25120800001559,202512
KS25120800001613,202512
KS25120800001617,202512
KS25120800001619,202512
KS25120800001652,202512
KS25120800001662,202512
KS25120800001663,202512
KS25120800001681,202512
KS25120800001690,202512
KS25120800001691,202512
KS25120800001692,202512
KS25120800001731,202512
KS25120800001732,202512
KS25120800001736,202512
KS25120800001737,202512
KS25120800001738,202512
KS25120800001740,202512
KS25120800001741,202512
KS25120800001744,202512
KS25120800001747,202512
KS25120800001748,202512
KS25120800001760,202512
KS25120800001773,202512
KS25120800001774,202512
KS25120800001795,202512
KS25120800001817,202512
KS25120800001848,202512
KS25120800001863,202512
KS25120800001892,202512
KS25120800001894,202512
KS25120800001903,202512
KS25120800001906,202512
KS25120800001911,202512
KS25120800001998,202512
KS25120800002043,202512
KS25120800002044,202512
KS25120800002118,202512
KS25120800002191,202512
KS25120800002221,202512
KS25120800002350,202512
KS25120800002351,202512
KS25120800002453,202512
KS25120800002455,202512
KS25120800002456,202512
KS25120800002470,202512
KS25120800002471,202512
KS25120800002495,202512
KS25120800002596,202512
KS25120800002628,202512
KS25120800002667,202512
KS25120800002668,202512
KS25120800002669,202512
KS25120800002670,202512
KS25120800003076,202512
KS25120800003078,202512
KS25120800003079,202512
KS25120800003080,202512
KS25120800003104,202512
KS25120800003106,202512
KS25120800003109,202512
KS25120800003148,202512
KS25120800003240,202512
KS25120800003241,202512
KS25120800003257,202512
KS25120800003315,202512
KS25120800003335,202512
KS25120800003339,202512
KS25120800003341,202512
KS25120800003352,202512
KS25120800003390,202512
KS25120800003715,202512
KS25120800001040,202512
KS25120800001160,202512
KS25120800002234,202512
KS25120800002237,202512
KS25120800002405,202512
