inventory_dc_code,goods_code_a,goods_code_b
W0A3,1255070,472
W0A3,646,1825662
W0A3,746616,1825662
W0A3,1469306,566
W0A3,1632967,457
W0A3,436,441
W0A3,433,441
W0A3,1357594,1997347
W0A3,262352,607
W0A3,1084651,1051645
W0A3,1209100,317120
W0A3,182221,1980235
W0A3,1167201,1907742
W0A3,1981529,1613281
W0A3,1576663,1194826
W0A6,1294856,1285852
W0A6,1385112,999143
W0A6,1084667,999143
W0A6,1382029,952477
W0A6,1211346,1267377
W0A2,1051645,1225018
W0A2,1166246,1998123
W0A2,620,846778
W0A2,1267377,1065579
W0A2,1240808,1632992
W0A2,472,1140418
W0A2,436,1998123
W0A2,1229926,1163245
W0A2,1148661,1156897
W0A2,1323623,1877169
W0A2,1632992,1300693
W0A7,852432,1511661
W0A7,1347228,1240808
W0A7,1084479,2112
W0A7,456,457
W0A7,973452,1266848
W0A7,852411,1266848
W0A7,852439,1234224
W0A7,1469306,566
W0A8,1424577,435
W0A8,441,440
W0A8,1255070,1922697
W0A8,1259559,564
W0A8,973452,1266848
W0A8,456,3166
W0A8,1084479,2112
