inventory_dc_code	goods_code_a	goods_code_b
W0A3	1255070	472
W0A3	646	1825662
W0A3	746616	1825662
W0A3	1469306	566
W0A3	436	441
W0A3	433	441
W0A3	1357594	1997347
W0A3	262352	607
W0A3	1084651	1051645
W0A3	1209100	317120
W0A3	182221	1980235
W0A3	1167201	1907742
W0A3	1981529	1613281
W0A3	1576663	1194826
W0A6	1294856	1285852
W0A6	1385112	999143
W0A6	1084667	999143
W0A6	1382029	952477
W0A6	1211346	1267377
W0A2	1051645	1225018
W0A2	1166246	1998123
W0A2	620	846778
W0A2	1267377	1065579
W0A2	1240808	1632992
W0A2	472	1140418
W0A2	436	1998123
W0A2	1229926	1163245
W0A2	1148661	1156897
W0A2	1323623	1877169
W0A2	1632992	1300693
W0A7	852432	1511661
W0A7	1347228	1240808
W0A7	1084479	2112
W0A7	456	457
W0A7	973452	1266848
W0A7	852411	1266848
W0A7	852439	1234224
W0A7	1469306	566
W0A8	1424577	435
W0A8	441	440
W0A8	1255070	1922697
W0A8	1259559	564
W0A8	973452	1266848
W0A8	456	3166
W0A8	1084479	2112
W0A3	1632967	963466
W0A3	1116225	1211346
W0A3	1084438	1084479
W0A3	852410	620
W0A3	854712	1129952
W0Q9	1901036	1287697
W0A3	1759710	472
W0A3	1798735	1084479
W0A3	1349900	1187406
W0A3	1655072	1907742
W0BH	1382271	1144499
W0A3	1287524	1169349
W0Q9	906641	1173584
W0A3	1324758	1234224
W0P8	1271632	1278612
W0Q9	262205	1488594
W0Q9	2230	787562
W0A3	1369243	608
W0Q9	1116454	262353
W0A3	182221	1213642
W0A3	1420038	1234224
W0A3	1901283	2041244
W0Q9	899348	1235752
W0P8	1164210	1326631
W0A3	1174696	1187406
W0A3	1978840	262205
W0A3	1888590	1980946
W0BH	1611766	1144499
W0Q9	1139535	1238089
W0Q9	1385111	1385112
W0A3	1497118	787562
W0A3	1422279	953471
W0BH	2111778	1576664
W0A3	1989180	238649
W0P8	1271599	1271589
W0P8	2007211	2000943
W0BH	1661366	1237639
W0P8	1271566	2007076
W0A3	2041602	2041244
W0A3	1973685	1648816
W0BH	1627238	1907742
W0A3	1237532	1323623
W0A3	1616461	1648816
W0A3	959580	1213642
W0P8	1902087	1170966
W0A3	1309372	1279241
W0A3	914174	892614
W0P8	1604191	1261051
W0BH	1299089	1237639
W0P8	1068773	1611668
W0P8	1295102	1279157
W0P8	1213642	1211723
W0A3	1991255	1980946
W0A3	1928884	1899363
W0P8	1122225	1902277
W0A3	2038017	1213642
W0P8	1503364	2000943
W0P8	1823370	1166163
W0P8	2007092	672551
W0P8	965671	2007155
W0P8	746620	1326631
W0A3	852432	999143
W0BH	1286448	1285848
W0BH	1902087	1648816
W0P8	2021337	1278612
W0BH	1279119	1648816
W0P8	1313064	1271574
W0P8	1637311	631838
W0BH	1167201	1907742
W0A3	1094918	474
W0P8	2007163	746613
W0BH	1461234	1648816
W0A3	1671374	1211346
W0A3	1170035	631
W0A3	1362222	1033733
W0BH	1613155	1648816
W0P8	2007156	1084949
W0P8	2007142	2007155
W0A3	787444	2524
W0A3	1166207	1084528
W0A3	317141	261537
W0A3	746616	646
W0P8	1271589	1271589
W0A3	1116225	1211346
